recordid,position_request_timestamp,postyp,approve,fiscalyr,hirefte,clineft,rescheft,edueft,admineft,rank___1,rank___2,rank___3,rank___4,rank___5,stafflvl___1,stafflvl___2,stafflvl___3,stafflvl___4,prfsfee,extgrant,endow,labfee,gifts,divbp,ccrffund,fundothr,qualify___1,qualify___2,qualify___99,qualothr,align,strtarea___1,strtarea___2,strtarea___3,strtarea___4,strtarea___5,strtarea___6,strtarea___7
3001,1/26/2023 11:33,Replacement,Yes,2023,1,100,0,0,0,0,0,0,0,1,0,1,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3002,1/25/2023 21:24,New,No,2024,1,80,20,0,0,0,1,1,0,0,0,0,0,0,95,5,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3004,1/27/2023 10:24,Replacement,Yes,2023,1,80,20,0,0,0,1,1,0,0,0,0,0,0,30,7,,,,63,,,0,1,0,,,0,0,0,0,0,0,0
3005,1/27/2023 11:01,New,No,2024,1,80,20,0,0,0,1,1,0,0,0,0,0,0,41,6,,,,53,,,0,1,0,,,0,0,0,0,0,0,0
3007,2/3/2023 16:05,Replacement,Yes,2023,1,70,30,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3008,2/3/2023 16:07,Replacement,Yes,2023,1,70,30,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3010,2/8/2023 15:09,New,Yes,2023,1,25,75,0,0,0,1,0,0,0,0,0,0,0,,,100,,,,,,1,0,1,D.Min ,No,0,0,0,0,0,0,0
3011,2/7/2023 14:06,New,No,,1,40,60,0,0,0,1,0,0,0,0,0,0,0,49,20,13,,,,18,,0,1,0,,Yes,0,1,0,0,1,0,0
3012,2/8/2023 10:56,Replacement,Yes,2023,1,80,0,0,20,0,1,0,0,1,1,0,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3013,2/9/2023 9:32,New,No,,1,0,100,0,0,1,0,0,0,0,0,0,0,0,,75,25,,,,,,0,1,0,,Yes,0,1,0,0,0,0,0
3015,2/10/2023 15:54,New,No,,1,80,20,0,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3016,2/12/2023 22:05,Replacement,Yes,2023,1,80,20,0,0,0,1,1,0,0,0,0,0,0,95,5,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3017,2/14/2023 10:53,New,No,,1,0,90,10,0,0,1,0,0,0,0,0,0,0,,42,,,,53,,5,1,0,0,,Yes,0,1,1,0,0,0,0
3018,2/13/2023 18:59,New,No,,1,80,20,0,0,0,1,1,1,0,0,0,0,0,,,,,,67.87,,32.13,0,0,0,,,0,0,0,0,0,0,0
3019,2/13/2023 19:02,New,No,,1,80,20,0,0,0,1,1,1,0,0,0,0,0,,,,,,61.23,,38.77,0,0,0,,,0,0,0,0,0,0,0
3020,2/13/2023 19:04,New,No,,1,80,20,0,0,0,1,1,1,0,0,0,0,0,,,,,,61.34,,38.66,0,0,0,,,0,0,0,0,0,0,0
3021,2/13/2023 19:06,New,No,,1,80,20,0,0,0,1,1,1,0,0,0,0,0,,,,,,61.21,,38.79,0,0,0,,,0,0,0,0,0,0,0
3022,2/13/2023 19:08,New,No,,1,80,20,0,0,0,1,1,1,0,0,0,0,0,,,,,,61.1,,38.9,0,0,0,,,0,0,0,0,0,0,0
3023,2/16/2023 17:27,New,No,,1,95,0,5,0,0,1,0,0,0,0,0,0,0,96,,,,,2,2,,0,1,0,,,0,0,0,0,0,0,0
3024,2/16/2023 15:37,New,No,,1,80,0,20,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3025,2/16/2023 15:40,New,No,,1,80,0,20,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3027,2/17/2023 10:06,New,No,,1,50,30,20,0,0,1,0,0,0,0,0,0,0,70,30,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3030,2/17/2023 16:03,New,No,,1,100,0,0,0,0,0,0,0,1,1,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3031,2/22/2023 10:39,Replacement,Yes,2024,1,100,0,0,0,0,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,DDS or DMD,,0,0,0,0,0,0,0
3032,2/24/2023 12:37,New,No,,1,80,0,20,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,0,0,,,0,0,0,0,0,0,0
3033,3/3/2023 10:24,New,No,,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,1,0,,,0,0,0,0,0,0,0
3034,3/6/2023 12:57,New,Yes,2023,1,0,90,10,0,0,1,1,0,0,0,0,0,0,38,62,,,,,,,1,0,0,,No,0,0,0,0,0,0,0
3035,3/6/2023 15:07,Replacement,Yes,2023,0.8,100,0,0,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3036,3/6/2023 15:40,Replacement,Yes,2023,0.8,100,0,0,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3037,3/6/2023 15:44,Replacement,Yes,2023,0.8,100,0,0,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3038,3/9/2023 16:45,New,No,,1,0,100,0,0,1,0,0,0,0,0,0,0,0,,60,20,,,,,20,1,0,0,,Yes,0,0,0,1,0,0,0
3040,3/7/2023 21:53,New,No,,1,25,75,0,0,0,1,0,0,0,0,0,0,0,23,34,19,,,,24,,1,1,0,,Yes,0,1,0,0,0,0,0
3041,3/8/2023 11:08,New,No,,0.8,100,0,0,0,0,0,0,0,1,0,0,1,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3042,3/13/2023 12:39,New,No,,1,0,80,20,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,0,0,,No,0,0,0,0,0,0,0
3046,3/17/2023 9:07,Replacement,Yes,2024,1,100,0,0,0,0,0,0,0,1,1,1,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3047,3/15/2023 16:27,New,No,,1,80,15,5,0,1,1,0,0,0,0,0,0,0,61.8,15.2,18.7,,,,,4.3,0,1,0,,,0,0,0,0,0,0,0
3048,3/15/2023 16:31,New,No,,1,80,15,5,0,1,1,0,0,0,0,0,0,0,62.3,15.7,17.7,,,,,4.3,0,1,0,,,0,0,0,0,0,0,0
3049,3/27/2023 14:53,New,No,,1,0,100,0,0,1,1,1,1,0,0,0,0,0,,42.2,,,,,57.8,,0,0,0,,Yes,1,0,0,0,0,0,0
3051,3/23/2023 13:46,Replacement,Yes,2024,1,100,0,0,0,0,0,0,0,1,1,1,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3056,4/14/2023 12:12,New,No,,1,0,95,5,0,0,0,1,0,0,0,0,0,0,,62,26,,4,8,0,,1,1,0,,Yes,0,0,0,0,1,0,0
3062,4/17/2023 16:26,New,Yes,2023,1,90,0,0,10,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3064,4/14/2023 13:45,New,No,,1,30,20,0,50,0,0,1,1,0,0,0,0,0,20,20,,,,60,,,1,1,0,,,0,0,0,0,0,0,0
3066,4/14/2023 17:35,New,No,,1,80,0,0,20,0,0,0,0,1,0,1,1,0,50,0,0,0,0,0,0,50,1,0,0,,,0,0,0,0,0,0,0
3067,4/19/2023 15:11,New,No,,0.8,75,0,12.5,12.5,0,1,0,0,0,0,0,0,0,96,,,,,1,3,,0,1,0,,,0,0,0,0,0,0,0
3068,4/24/2023 16:55,Replacement,Yes,2024,0.5,100,0,0,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3069,5/3/2023 15:56,New,Yes,2024,1,0,90,0,10,0,0,1,1,0,0,0,0,0,,20,,,,80,,,1,1,0,,Yes,0,0,0,1,0,0,0
3070,5/2/2023 10:55,New,No,,0.2,100,0,0,0,0,0,0,0,1,1,0,0,0,100,,,,,,,,0,0,1,DDS/DMD,,0,0,0,0,0,0,0
3073,5/9/2023 9:56,Replacement,Yes,2024,1,70,0,20,10,0,1,1,0,0,0,0,0,0,88,0,0,0,0,0,12,0,0,1,0,,,0,0,0,0,0,0,0
3076,5/25/2023 9:49,Replacement,Yes,2024,1,30,0,70,0,0,1,1,0,0,0,0,0,0,30,,,,,,,70,0,1,0,,,0,0,0,0,0,0,0
3080,5/25/2023 11:01,New,No,,1,30,70,0,0,0,1,0,0,0,0,0,0,0,25,40,20,,,,15,,0,1,0,,Yes,0,0,1,0,0,0,0
3081,5/31/2023 16:47,New,Yes,2024,1,70,5,15,10,0,0,1,0,0,0,0,0,0,95,5,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3082,6/2/2023 8:54,New,No,,1,0,90,10,0,0,1,0,0,0,0,0,0,0,0,40,10,0,0,50,0,,1,0,0,,Yes,0,1,1,0,0,1,0
3083,6/2/2023 9:27,New,No,,1,0,90,10,0,0,0,1,0,0,0,0,0,0,0,40,7,0,0,53,0,0,1,0,0,,Yes,0,1,1,0,0,1,0
3087,6/7/2023 9:32,Replacement,Yes,2024,1,80,0,0,20,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,100,1,0,1,PsyD,,0,0,0,0,0,0,0
3088,6/20/2023 9:30,Replacement,Yes,2024,1,70,0,0,30,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3090,6/9/2023 14:28,New,Yes,2024,1,45,40,0,15,0,0,1,0,0,0,0,0,0,54,16,30,,,,,,0,1,0,,Yes,0,1,0,0,0,0,0
3091,6/20/2023 16:39,Replacement,Yes,2024,1,80,0,20,0,0,1,1,1,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3092,6/12/2023 11:29,Replacement,Yes,2024,1,80,0,0,20,0,1,0,0,0,0,0,0,0,33.33,,,,,,,66.67,0,1,0,,,0,0,0,0,0,0,0
3093,6/13/2023 18:08,New,Yes,2024,1,80,0,0,20,0,1,0,0,0,0,0,0,0,33.33,,,,,,,66.67,0,1,0,,,0,0,0,0,0,0,0
3094,6/12/2023 14:07,New,No,,1,70,0,10,20,0,1,1,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3096,7/20/2023 11:30,Replacement,Yes,2024,1,70,20,7.5,2.5,0,0,1,0,0,0,0,0,0,80,,,,10,10,,,0,1,0,,,0,0,0,0,0,0,0
3097,7/10/2023 13:51,New,Yes,2024,1,0,100,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,70,0,0,1,0,0,,Yes,0,0,0,0,0,1,0
3100,6/22/2023 20:00,New,No,,1,15,70,5,10,0,0,0,1,0,0,0,0,0,12,74,14,,,,,,1,1,0,,Yes,0,0,1,1,0,1,0
3101,6/27/2023 15:38,New,Yes,2024,1,0,95,5,0,1,0,0,0,0,0,0,0,0,2,68,,,,,,30,1,0,0,,Yes,0,1,1,0,0,1,0
3105,7/12/2023 12:09,New,Yes,2024,1,0,100,0,0,1,1,0,0,0,0,0,0,0,,52,,,,48,,,1,0,0,,Yes,0,0,1,0,0,0,0
3107,7/19/2023 16:34,New,No,,1,0,95,5,0,0,0,1,0,0,0,0,0,0,,68,,,,,,32,1,0,0,,No,0,0,0,0,0,0,0
3108,7/25/2023 9:15,Replacement,No,,1,20,65,5,10,0,0,1,1,0,0,0,0,0,20,,,,,80,,,1,1,0,,Yes,0,0,0,1,0,0,0
3109,7/24/2023 12:46,New,No,,1,100,0,0,0,0,0,0,0,1,0,1,0,0,23,0,0,0,0,,0,77,0,1,0,,,0,0,0,0,0,0,0
3110,7/25/2023 13:55,New,No,,1,80,0,20,0,0,1,0,0,0,0,0,0,0,80,,20,,,,,,0,1,0,,,0,0,0,0,0,0,0
3112,7/28/2023 15:25,Replacement,Yes,2024,0.2,80,0,0,20,0,0,1,0,0,0,0,0,0,33.33,,,,,,,66.67,0,1,0,,,0,0,0,0,0,0,0
3113,7/31/2023 12:01,Replacement,Yes,2024,1,50,10,0,40,0,0,1,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3114,8/3/2023 10:32,New,No,,1,90,0,10,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3115,8/3/2023 10:26,New,No,,1,90,0,10,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3116,8/3/2023 10:35,New,No,,1,90,0,10,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3117,8/3/2023 10:38,New,No,,1,90,0,10,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3118,8/3/2023 17:40,New,No,,1,70,0,5,25,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3121,8/10/2023 12:46,Replacement,Yes,2024,1,80,0,10,10,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3122,8/10/2023 10:37,Replacement,Yes,2024,1,100,0,0,0,0,0,0,0,1,1,1,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3125,8/14/2023 16:47,New,No,,1,100,0,0,0,0,0,0,0,1,1,1,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3126,8/14/2023 16:53,New,No,,1,100,0,0,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3127,8/14/2023 16:57,New,No,,1,100,0,0,0,0,0,0,0,1,0,1,1,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3129,8/17/2023 16:25,Replacement,No,,1,80,0,20,0,0,1,1,0,0,0,0,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3130,8/18/2023 13:54,Replacement,Yes,2024,1,25,75,0,0,0,1,0,0,0,0,0,0,0,74,26,0,0,0,0,0,0,1,1,0,,Yes,1,0,0,0,0,0,0
3134,8/30/2023 16:11,New,No,,1,0,85,15,0,0,0,1,0,0,0,0,0,0,,40,,,,,60,,1,0,0,,Yes,0,0,1,1,0,0,0
3135,8/28/2023 13:57,New,No,,1,80,10,0,10,0,1,0,0,0,0,0,0,0,70,,,,,,30,,0,1,0,,,0,0,0,0,0,0,0
3136,8/24/2023 15:58,New,No,,0.4,100,0,0,0,0,0,0,0,1,0,0,0,1,53.7,,,,,,,46.3,0,1,0,,,0,0,0,0,0,0,0
3137,8/24/2023 15:49,New,No,,1,0,10,0,90,0,0,1,0,0,0,0,0,0,,10,20,,20,,,50,0,0,1,JD,,0,0,0,0,0,0,0
3138,8/28/2023 16:06,New,No,,1,10,90,0,0,0,0,1,1,0,0,0,0,0,10,20,5,,,,65,,1,1,0,,Yes,0,0,0,1,0,0,0
3139,8/28/2023 14:40,New,No,,1,80,10,0,10,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,30,0,0,1,0,,,0,0,0,0,0,0,0
3142,8/30/2023 10:47,New,No,,1,0,97,3,0,0,1,0,0,0,0,0,0,0,,100,,,,,,,1,0,0,,No,0,0,0,0,0,0,0
3145,9/6/2023 10:08,Replacement,No,,1,70,0,20,10,0,1,1,0,0,0,0,0,0,70,,,,,,30,,0,1,0,,,0,0,0,0,0,0,0
3146,9/5/2023 12:31,New,No,,1,60,0,0,40,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,40,0,1,0,,,0,0,0,0,0,0,0
3148,9/7/2023 9:50,Replacement,Yes,2024,1,80,0,20,0,0,1,1,0,1,1,0,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3149,9/7/2023 9:57,Replacement,Yes,2024,1,80,0,20,0,0,1,1,0,1,1,1,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3151,10/4/2023 13:58,New,No,,1,80,0,20,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3159,9/26/2023 15:21,New,No,,0.2,100,0,0,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3162,9/29/2023 15:30,Replacement,Yes,2024,1,80,0,10,10,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3163,9/29/2023 15:19,New,No,,1,80,0,15,5,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3164,9/29/2023 15:38,Replacement,No,,1,80,0,10,10,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3165,9/29/2023 15:48,Replacement,No,,1,80,0,10,10,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3166,9/29/2023 15:53,New,No,,1,80,0,10,10,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3167,10/2/2023 17:04,New,Yes,2024,1,80,0,0,20,0,1,1,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3168,10/4/2023 14:30,New,No,,0.1,100,0,0,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3170,10/10/2023 14:43,Replacement,Yes,2024,1,80,0,0,20,0,1,0,0,0,0,0,0,0,33.33,,,,,,,66.67,0,1,0,,,0,0,0,0,0,0,0
3171,10/11/2023 14:52,Replacement,Yes,2024,1,70,0,30,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3173,10/11/2023 14:59,Replacement,Yes,2024,1,90,0,10,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3175,10/11/2023 15:04,Replacement,Yes,2024,1,80,0,20,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3176,10/12/2023 18:01,Replacement,Yes,2024,1,70,20,7.5,2.5,0,1,1,0,0,0,0,0,0,64,,24,,,12,,,0,1,0,,,0,0,0,0,0,0,0
3178,10/13/2023 15:20,Replacement,Yes,2024,1,100,0,0,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3179,10/16/2023 13:38,Replacement,Yes,2024,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,1,0,,,0,0,0,0,0,0,0
3180,10/16/2023 13:43,Replacement,Yes,2024,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,1,0,,,0,0,0,0,0,0,0
3181,10/20/2023 7:46,New,No,,1,25,75,0,0,0,1,0,0,0,0,0,0,0,64,27,0,0,0,0,9,0,1,1,0,,No,0,0,0,0,0,0,0
3183,10/23/2023 8:59,New,No,,1,0,90,10,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,61,0,0,1,1,0,,Yes,1,0,1,1,0,0,0
3184,10/23/2023 9:33,New,No,,1,0,90,10,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,61,0,0,1,1,0,,Yes,1,0,1,1,0,0,0
3185,10/23/2023 9:40,New,No,,1,0,90,10,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,65,0,0,1,1,0,,Yes,1,0,1,1,0,0,0
3186,11/14/2023 10:53,New,No,,1,0,100,0,0,0,0,0,0,0,0,0,0,0,,95,5,,,,,,1,0,0,,No,0,0,0,0,0,0,0
3189,10/24/2023 8:50,New,No,,1,80,0,20,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3192,11/1/2023 15:28,New,No,,1,50,0,50,0,0,1,0,0,0,0,0,0,0,94,0,0,0,0,0,0,6,0,1,0,,,0,0,0,0,0,0,0
3193,11/2/2023 16:28,New,No,,1,80,0,20,0,0,1,1,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3195,11/3/2023 15:09,New,No,,1,0,100,0,0,0,1,0,0,0,0,0,0,0,,,17,,,59,,24,1,0,0,,Yes,0,1,0,0,0,0,1
3197,11/3/2023 16:22,Replacement,Yes,2024,1,80,0,0,20,0,1,0,0,0,0,0,0,0,33.33,,,,,,,66.67,0,1,0,,,0,0,0,0,0,0,0
3199,11/6/2023 15:31,New,No,,1,80,0,20,0,0,1,1,0,1,1,1,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3201,11/9/2023 14:49,Replacement,No,,1,25,75,0,0,0,0,1,0,0,0,0,0,0,25,60,0,0,0,0,0,15,0,1,0,,No,0,0,0,0,0,0,0
3203,11/9/2023 11:00,New,No,,0.4,100,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3205,11/10/2023 10:46,Replacement,Yes,2024,1,80,0,20,0,0,1,1,0,0,0,0,0,0,,,,100,,,,,1,1,0,,,0,0,0,0,0,0,0
3206,1/10/2024 10:40,New,No,,1,60,20,0,20,0,1,0,0,0,0,0,0,0,70,12,,,,18,,,0,1,0,,,0,0,0,0,0,0,0
3207,11/13/2023 10:45,New,No,,1,80,0,0,20,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3208,11/13/2023 19:11,New,No,,1,80,0,5,15,0,0,1,1,0,0,0,0,0,42.7,,46.8,,,,,10.5,0,1,0,,,0,0,0,0,0,0,0
3209,11/15/2023 13:01,Replacement,Yes,2023,1,80,0,0,20,0,1,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,66.67,0,1,0,,,0,0,0,0,0,0,0
3213,11/29/2023 10:33,New,No,,1,100,0,0,0,0,0,0,0,1,0,1,1,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3214,12/1/2023 13:48,New,No,,1,70,0,30,0,0,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3216,12/12/2023 8:49,New,No,,1,100,0,0,0,0,0,0,0,1,0,1,1,0,87,0,0,0,0,0,0,13,0,1,0,,,0,0,0,0,0,0,0
3220,12/14/2023 16:29,New,No,,1,25,75,0,0,0,0,1,0,0,0,0,0,0,9,45,,,,,46,,0,1,0,,Yes,0,1,0,0,0,0,1
3221,12/15/2023 15:34,New,No,,1,80,0,20,0,0,1,1,0,1,1,1,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3222,12/19/2023 10:15,New,No,,1,35,60,0,5,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,Yes,0,0,0,0,1,0,0
3223,12/22/2023 13:52,Replacement,Yes,2024,1,80,0,20,0,0,1,0,0,0,0,0,0,0,58,8,,,,34,,,0,1,0,,,0,0,0,0,0,0,0
3224,12/29/2023 11:53,Replacement,Yes,2024,1,80,10,10,0,0,1,1,0,0,0,0,0,0,76,5,,,,19,,,0,1,0,,,0,0,0,0,0,0,0
3226,12/29/2023 14:11,New,No,,1,80,20,0,0,0,1,1,0,0,0,0,0,0,82,12,,,,6,,,0,1,0,,,0,0,0,0,0,0,0
3227,12/29/2023 14:53,New,No,,1,50,10,10,30,0,0,0,1,0,0,0,0,0,79,4,,,,5,,12,0,1,0,,,0,0,0,0,0,0,0
3229,1/8/2024 11:33,New,No,,1,75,20,5,0,0,1,0,0,0,0,0,0,0,49,,8,,,17,,26,0,1,0,,,0,0,0,0,0,0,0
3230,1/19/2024 16:38,New,No,,1,80,0,20,0,0,1,1,0,1,1,1,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3234,1/16/2024 13:59,Replacement,No,,1,100,0,0,0,0,0,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3235,1/17/2024 12:43,Replacement,No,,1,80,0,0,20,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,67,0,1,0,,,0,0,0,0,0,0,0
3236,1/17/2024 15:26,Replacement,Yes,2024,1,100,0,0,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
